district_code,district,year,area
11110,종로구,2014,23.91
11110,종로구,2015,23.91
11110,종로구,2016,23.91
11110,종로구,2017,23.91
11110,종로구,2018,23.91
11110,종로구,2019,23.91
11110,종로구,2020,23.91
11110,종로구,2021,23.91
11110,종로구,2022,23.91
11110,종로구,2023,23.91
11140,중구,2014,9.96
11140,중구,2015,9.96
11140,중구,2016,9.96
11140,중구,2017,9.96
11140,중구,2018,9.96
11140,중구,2019,9.96
11140,중구,2020,9.96
11140,중구,2021,9.96
11140,중구,2022,9.96
11140,중구,2023,9.96
11170,용산구,2014,21.87
11170,용산구,2015,21.87
11170,용산구,2016,21.87
11170,용산구,2017,21.87
11170,용산구,2018,21.87
11170,용산구,2019,21.87
11170,용산구,2020,21.87
11170,용산구,2021,21.87
11170,용산구,2022,21.87
11170,용산구,2023,21.87
11200,성동구,2014,16.86
11200,성동구,2015,16.86
11200,성동구,2016,16.86
11200,성동구,2017,16.86
11200,성동구,2018,16.86
11200,성동구,2019,16.86
11200,성동구,2020,16.86
11200,성동구,2021,16.86
11200,성동구,2022,16.82
11200,성동구,2023,16.82
11215,광진구,2014,17.06
11215,광진구,2015,17.06
11215,광진구,2016,17.06
11215,광진구,2017,17.06
11215,광진구,2018,17.06
11215,광진구,2019,17.06
11215,광진구,2020,17.06
11215,광진구,2021,17.06
11215,광진구,2022,17.06
11215,광진구,2023,17.06
11230,동대문구,2014,14.21
11230,동대문구,2015,14.21
11230,동대문구,2016,14.22
11230,동대문구,2017,14.22
11230,동대문구,2018,14.22
11230,동대문구,2019,14.22
11230,동대문구,2020,14.22
11230,동대문구,2021,14.22
11230,동대문구,2022,14.22
11230,동대문구,2023,14.22
11260,중랑구,2014,18.50
11260,중랑구,2015,18.50
11260,중랑구,2016,18.50
11260,중랑구,2017,18.50
11260,중랑구,2018,18.50
11260,중랑구,2019,18.50
11260,중랑구,2020,18.50
11260,중랑구,2021,18.50
11260,중랑구,2022,18.50
11260,중랑구,2023,18.50
11290,성북구,2014,24.58
11290,성북구,2015,24.58
11290,성북구,2016,24.58
11290,성북구,2017,24.57
11290,성북구,2018,24.57
11290,성북구,2019,24.57
11290,성북구,2020,24.58
11290,성북구,2021,24.58
11290,성북구,2022,24.58
11290,성북구,2023,24.58
11305,강북구,2014,23.60
11305,강북구,2015,23.60
11305,강북구,2016,23.60
11305,강북구,2017,23.60
11305,강북구,2018,23.60
11305,강북구,2019,23.60
11305,강북구,2020,23.60
11305,강북구,2021,23.60
11305,강북구,2022,23.60
11305,강북구,2023,23.60
11320,도봉구,2014,20.70
11320,도봉구,2015,20.71
11320,도봉구,2016,20.67
11320,도봉구,2017,20.67
11320,도봉구,2018,20.67
11320,도봉구,2019,20.66
11320,도봉구,2020,20.65
11320,도봉구,2021,20.65
11320,도봉구,2022,20.65
11320,도봉구,2023,20.65
11350,노원구,2014,35.44
11350,노원구,2015,35.44
11350,노원구,2016,35.44
11350,노원구,2017,35.44
11350,노원구,2018,35.44
11350,노원구,2019,35.44
11350,노원구,2020,35.44
11350,노원구,2021,35.44
11350,노원구,2022,35.44
11350,노원구,2023,35.44
11380,은평구,2014,29.70
11380,은평구,2015,29.70
11380,은평구,2016,29.70
11380,은평구,2017,29.71
11380,은평구,2018,29.71
11380,은평구,2019,29.71
11380,은평구,2020,29.71
11380,은평구,2021,29.71
11380,은평구,2022,29.71
11380,은평구,2023,29.71
11410,서대문구,2014,17.61
11410,서대문구,2015,17.61
11410,서대문구,2016,17.61
11410,서대문구,2017,17.63
11410,서대문구,2018,17.62
11410,서대문구,2019,17.63
11410,서대문구,2020,17.63
11410,서대문구,2021,17.63
11410,서대문구,2022,17.63
11410,서대문구,2023,17.63
11440,마포구,2014,23.84
11440,마포구,2015,23.84
11440,마포구,2016,23.84
11440,마포구,2017,23.85
11440,마포구,2018,23.85
11440,마포구,2019,23.85
11440,마포구,2020,23.85
11440,마포구,2021,23.85
11440,마포구,2022,23.85
11440,마포구,2023,23.85
11470,양천구,2014,17.40
11470,양천구,2015,17.40
11470,양천구,2016,17.41
11470,양천구,2017,17.41
11470,양천구,2018,17.41
11470,양천구,2019,17.41
11470,양천구,2020,17.41
11470,양천구,2021,17.41
11470,양천구,2022,17.41
11470,양천구,2023,17.41
11500,강서구,2014,41.43
11500,강서구,2015,41.44
11500,강서구,2016,41.44
11500,강서구,2017,41.44
11500,강서구,2018,41.44
11500,강서구,2019,41.44
11500,강서구,2020,41.44
11500,강서구,2021,41.45
11500,강서구,2022,41.45
11500,강서구,2023,41.45
11530,구로구,2014,20.12
11530,구로구,2015,20.12
11530,구로구,2016,20.12
11530,구로구,2017,20.12
11530,구로구,2018,20.12
11530,구로구,2019,20.12
11530,구로구,2020,20.12
11530,구로구,2021,20.12
11530,구로구,2022,20.12
11530,구로구,2023,20.12
11545,금천구,2014,13.02
11545,금천구,2015,13.02
11545,금천구,2016,13.02
11545,금천구,2017,13.02
11545,금천구,2018,13.02
11545,금천구,2019,13.02
11545,금천구,2020,13.02
11545,금천구,2021,13.02
11545,금천구,2022,13.02
11545,금천구,2023,13.02
11560,영등포구,2014,24.53
11560,영등포구,2015,24.53
11560,영등포구,2016,24.53
11560,영등포구,2017,24.55
11560,영등포구,2018,24.55
11560,영등포구,2019,24.55
11560,영등포구,2020,24.55
11560,영등포구,2021,24.55
11560,영등포구,2022,24.55
11560,영등포구,2023,24.55
11590,동작구,2014,16.35
11590,동작구,2015,16.35
11590,동작구,2016,16.35
11590,동작구,2017,16.35
11590,동작구,2018,16.35
11590,동작구,2019,16.35
11590,동작구,2020,16.35
11590,동작구,2021,16.36
11590,동작구,2022,16.36
11590,동작구,2023,16.36
11620,관악구,2014,29.57
11620,관악구,2015,29.57
11620,관악구,2016,29.57
11620,관악구,2017,29.57
11620,관악구,2018,29.57
11620,관악구,2019,29.57
11620,관악구,2020,29.57
11620,관악구,2021,29.57
11620,관악구,2022,29.57
11620,관악구,2023,29.57
11650,서초구,2014,47.00
11650,서초구,2015,47.00
11650,서초구,2016,46.98
11650,서초구,2017,46.99
11650,서초구,2018,46.98
11650,서초구,2019,46.98
11650,서초구,2020,46.98
11650,서초구,2021,46.98
11650,서초구,2022,46.97
11650,서초구,2023,46.97
11680,강남구,2014,39.50
11680,강남구,2015,39.50
11680,강남구,2016,39.50
