district_code,district,year,cat1,cat2,val
11110,종로구,2008,비만율,소계,16.4
11110,종로구,2008,신체활동,걷기실천율,59.9
11110,종로구,2008,신체활동,증등도 이상 신체활동 실천율,-
11110,종로구,2008,양호한 주관적 건강수준 인지율,소계,57.2
11110,종로구,2008,음주,월간음주율,56.7
11110,종로구,2008,음주,연간음주자의 고위험음주율,22.1
11110,종로구,2008,정신건강,스트레스 인지율,25.1
11110,종로구,2008,정신건강,우울감 경험률,7.9
11110,종로구,2008,흡연,현재흡연율,22.2
11110,종로구,2008,흡연,현재흡연자의 금연시도율,-
11110,종로구,2009,비만율,소계,21.1
11110,종로구,2009,신체활동,걷기실천율,68.3
11110,종로구,2009,신체활동,증등도 이상 신체활동 실천율,23.7
11110,종로구,2009,양호한 주관적 건강수준 인지율,소계,59.7
11110,종로구,2009,음주,월간음주율,51.1
11110,종로구,2009,음주,연간음주자의 고위험음주율,21.8
11110,종로구,2009,정신건강,스트레스 인지율,28.1
11110,종로구,2009,정신건강,우울감 경험률,7.9
11110,종로구,2009,흡연,현재흡연율,23.0
11110,종로구,2009,흡연,현재흡연자의 금연시도율,-
11110,종로구,2010,비만율,소계,22.7
11110,종로구,2010,신체활동,걷기실천율,61.1
11110,종로구,2010,신체활동,증등도 이상 신체활동 실천율,21.3
11110,종로구,2010,양호한 주관적 건강수준 인지율,소계,45.8
11110,종로구,2010,음주,월간음주율,59.0
11110,종로구,2010,음주,연간음주자의 고위험음주율,20.1
11110,종로구,2010,정신건강,스트레스 인지율,32.6
11110,종로구,2010,정신건강,우울감 경험률,6.9
11110,종로구,2010,흡연,현재흡연율,23.1
11110,종로구,2010,흡연,현재흡연자의 금연시도율,-
11110,종로구,2011,비만율,소계,22.0
11110,종로구,2011,신체활동,걷기실천율,50.2
11110,종로구,2011,신체활동,증등도 이상 신체활동 실천율,19.9
11110,종로구,2011,양호한 주관적 건강수준 인지율,소계,45.2
11110,종로구,2011,음주,월간음주율,59.0
11110,종로구,2011,음주,연간음주자의 고위험음주율,21.8
11110,종로구,2011,정신건강,스트레스 인지율,31.2
11110,종로구,2011,정신건강,우울감 경험률,6.2
11110,종로구,2011,흡연,현재흡연율,24.9
11110,종로구,2011,흡연,현재흡연자의 금연시도율,-
11110,종로구,2012,비만율,소계,22.7
11110,종로구,2012,신체활동,걷기실천율,42.2
11110,종로구,2012,신체활동,증등도 이상 신체활동 실천율,16.9
11110,종로구,2012,양호한 주관적 건강수준 인지율,소계,40.4
11110,종로구,2012,음주,월간음주율,57.7
11110,종로구,2012,음주,연간음주자의 고위험음주율,13.0
11110,종로구,2012,정신건강,스트레스 인지율,33.5
11110,종로구,2012,정신건강,우울감 경험률,9.1
11110,종로구,2012,흡연,현재흡연율,22.7
11110,종로구,2012,흡연,현재흡연자의 금연시도율,34.1
11110,종로구,2013,비만율,소계,24.0
11110,종로구,2013,신체활동,걷기실천율,51.5
11110,종로구,2013,신체활동,증등도 이상 신체활동 실천율,17.8
11110,종로구,2013,양호한 주관적 건강수준 인지율,소계,42.7
11110,종로구,2013,음주,월간음주율,59.6
11110,종로구,2013,음주,연간음주자의 고위험음주율,14.8
11110,종로구,2013,정신건강,스트레스 인지율,31.0
11110,종로구,2013,정신건강,우울감 경험률,7.3
11110,종로구,2013,흡연,현재흡연율,21.5
11110,종로구,2013,흡연,현재흡연자의 금연시도율,32.0
11110,종로구,2014,비만율,소계,24.6
11110,종로구,2014,신체활동,걷기실천율,52.4
11110,종로구,2014,신체활동,증등도 이상 신체활동 실천율,22.8
11110,종로구,2014,양호한 주관적 건강수준 인지율,소계,41.2
11110,종로구,2014,음주,월간음주율,55.7
11110,종로구,2014,음주,연간음주자의 고위험음주율,17.8
11110,종로구,2014,정신건강,스트레스 인지율,30.3
11110,종로구,2014,정신건강,우울감 경험률,9.0
11110,종로구,2014,흡연,현재흡연율,22.5
11110,종로구,2014,흡연,현재흡연자의 금연시도율,29.4
11110,종로구,2015,비만율,소계,25.0
11110,종로구,2015,신체활동,걷기실천율,57.7
11110,종로구,2015,신체활동,증등도 이상 신체활동 실천율,27.3
