disctrict_code,district,year,age_code,age,val
11110,종로구,2014,2,5~9세,4991
11110,종로구,2014,3,10~14세,6704
11110,종로구,2014,4,15~19세,9372
11110,종로구,2014,5,20~24세,12979
11110,종로구,2014,6,25~29세,13283
11110,종로구,2014,7,30~34세,12696
11110,종로구,2014,8,35~39세,11242
11110,종로구,2014,9,40~44세,14467
11110,종로구,2014,10,45~49세,14123
11110,종로구,2014,11,50~54세,14388
11110,종로구,2014,12,55~59세,12965
11110,종로구,2014,13,60~64세,8988
11110,종로구,2014,14,65~69세,7748
11110,종로구,2014,15,70~74세,6956
11110,종로구,2014,16,75~79세,4814
11110,종로구,2014,17,80~84세,2663
11110,종로구,2014,18,85~89세,1370
11110,종로구,2014,19,90~94세,606
11110,종로구,2014,20,95~99세,183
11110,종로구,2014,21,100세 이상,197
11110,종로구,2015,2,5~9세,5008
11110,종로구,2015,3,10~14세,6000
11110,종로구,2015,4,15~19세,9127
11110,종로구,2015,5,20~24세,13416
11110,종로구,2015,6,25~29세,13167
11110,종로구,2015,7,30~34세,12282
11110,종로구,2015,8,35~39세,11071
11110,종로구,2015,9,40~44세,13435
11110,종로구,2015,10,45~49세,14149
11110,종로구,2015,11,50~54세,13956
11110,종로구,2015,12,55~59세,13099
11110,종로구,2015,13,60~64세,9704
11110,종로구,2015,14,65~69세,7759
11110,종로구,2015,15,70~74세,6867
11110,종로구,2015,16,75~79세,4968
11110,종로구,2015,17,80~84세,2871
11110,종로구,2015,18,85~89세,1405
11110,종로구,2015,19,90~94세,589
11110,종로구,2015,20,95~99세,223
11110,종로구,2015,21,100세 이상,210
11110,종로구,2016,2,5~9세,4923
11110,종로구,2016,3,10~14세,5552
11110,종로구,2016,4,15~19세,8777
11110,종로구,2016,5,20~24세,13759
11110,종로구,2016,6,25~29세,13088
11110,종로구,2016,7,30~34세,11559
11110,종로구,2016,8,35~39세,11045
11110,종로구,2016,9,40~44세,12194
11110,종로구,2016,10,45~49세,14425
11110,종로구,2016,11,50~54세,13347
11110,종로구,2016,12,55~59세,13342
11110,종로구,2016,13,60~64세,10382
11110,종로구,2016,14,65~69세,7500
11110,종로구,2016,15,70~74세,6661
11110,종로구,2016,16,75~79세,5274
11110,종로구,2016,17,80~84세,3112
11110,종로구,2016,18,85~89세,1487
11110,종로구,2016,19,90~94세,603
11110,종로구,2016,20,95~99세,234
11110,종로구,2016,21,100세 이상,220
11110,종로구,2017,2,5~9세,5032
11110,종로구,2017,3,10~14세,5509
11110,종로구,2017,4,15~19세,8418
11110,종로구,2017,5,20~24세,14429
11110,종로구,2017,6,25~29세,13590
11110,종로구,2017,7,30~34세,11486
11110,종로구,2017,8,35~39세,11431
11110,종로구,2017,9,40~44세,11637
11110,종로구,2017,10,45~49세,14535
11110,종로구,2017,11,50~54세,13398
11110,종로구,2017,12,55~59세,13608
11110,종로구,2017,13,60~64세,10725
11110,종로구,2017,14,65~69세,7662
11110,종로구,2017,15,70~74세,6605
11110,종로구,2017,16,75~79세,5872
11110,종로구,2017,17,80~84세,3329
11110,종로구,2017,18,85~89세,1612
11110,종로구,2017,19,90~94세,626
11110,종로구,2017,20,95~99세,250
11110,종로구,2017,21,100세 이상,226
11110,종로구,2018,2,5~9세,4871
11110,종로구,2018,3,10~14세,5416
11110,종로구,2018,4,15~19세,7851
11110,종로구,2018,5,20~24세,14485
11110,종로구,2018,6,25~29세,13804
11110,종로구,2018,7,30~34세,11150
11110,종로구,2018,8,35~39세,11571
11110,종로구,2018,9,40~44세,10781
11110,종로구,2018,10,45~49세,14163
11110,종로구,2018,11,50~54세,13355
11110,종로구,2018,12,55~59세,13587
11110,종로구,2018,13,60~64세,11209
11110,종로구,2018,14,65~69세,7755
11110,종로구,2018,15,70~74세,6596
11110,종로구,2018,16,75~79세,5964
11110,종로구,2018,17,80~84세,3549
