district_code,district,year,private_name
11110,종로구,1997,박영길 휘트니스
11110,종로구,1998,MAX체력단련장
11110,종로구,2001,푸쉬앤풀휘트니스
11110,종로구,2002,파고다
11110,종로구,2004,슈퍼스타 휘트니스
11110,종로구,2004,제일메가스포
11110,종로구,2005,AB휘트니스클럽
11110,종로구,2006,주-스포짐
11110,종로구,2006,주식회사 빌드업피트니스 PT 종각역점
11110,종로구,2007,제이휘트니스
11110,종로구,2010,바디팩토리
11110,종로구,2010,에이블짐창신역점
11110,종로구,2011,스페이스본 휘트니스센터
11110,종로구,2011,에이치짐 신설동역점
11110,종로구,2015,711GYM
11110,종로구,2015,스포짐
11110,종로구,2015,워너짐 NO.1
11110,종로구,2016,다함PT
11110,종로구,2016,디앤브이 피트니스
11110,종로구,2016,바디밸런스
11110,종로구,2016,원알엠피트니스
11110,종로구,2016,필웨이
11110,종로구,2017,PT.ROOT
11110,종로구,2017,몬스터짐 광화문본점
11110,종로구,2018,(주)케이에스스포짐
11110,종로구,2018,더타임
11110,종로구,2018,로얄EMS.PT
11110,종로구,2018,클래식바디짐
11110,종로구,2018,피티루트
11110,종로구,2018,필라테스.피티.시도하다
11110,종로구,2019,센트로폴리스 피트니스
11110,종로구,2019,스포애니 광화문역점 (주)케이디헬스케어
11110,종로구,2019,한상현GYM
11110,종로구,2020,(주)타이거알유(계동지점)
11110,종로구,2020,F45광화문 지점
11110,종로구,2020,MCT GYM
11110,종로구,2020,RUN 광화문
11110,종로구,2020,Wellness K(웰니스 케이)
11110,종로구,2020,듀얼핏
11110,종로구,2020,셀렉트짐 PT & 헬스 광화문점
11110,종로구,2020,스포애니 동묘앞역점 (주)케이디헬스케어
11110,종로구,2020,짐피닉스
11110,종로구,2020,홍핏(HONG FIT)
11110,종로구,2021,COGIT(코지트)
11110,종로구,2021,DK퍼스널트레이닝
11110,종로구,2021,베럴짐
11110,종로구,2021,이브핏(광화문점)
11110,종로구,2021,일레븐 PT&필라테스
11110,종로구,2021,피티루트(부암동점)
11110,종로구,2022,JOE GYM
11110,종로구,2022,YFL
11110,종로구,2022,내몸을 차짐
11110,종로구,2022,자마이카 피트니스
11110,종로구,2023,Dooice Gym
11110,종로구,2023,STANDARD TRAINING
11110,종로구,2023,관철동헬스클럽
11110,종로구,2023,더 루트짐
11110,종로구,2023,레하 필라테스&PT
11110,종로구,2023,바디채널 혜화점
11110,종로구,2023,애플 피트니스
11110,종로구,2023,어메이징휘트니스 혜화점
11110,종로구,2023,온리스?짐
11110,종로구,2023,종로청운스포렉스 피트니스센터
11110,종로구,2023,짱핏
11110,종로구,2024,독립문체육관
11110,종로구,2024,무브먼트하우스
11110,종로구,2024,"바름체형교정재활&키성장운동센터 디스크,무릎통증전문 종로점"
11110,종로구,2024,베이지피트니스 PT&필라테스 광화문점
11110,종로구,2024,스파렉스
11110,종로구,2024,크로스핏엠비션 광화문역점
11110,종로구,2024,현대그룹 H Gym
11110,종로구,2025,IN:PT
11110,종로구,2025,아크로짐 안국역점 헬스&PT
11110,종로구,2025,어메이징휘트니스 헬스&PT 종로점
11110,종로구,2025,자강
11110,종로구,2025,종각역점 스포애니 ㈜케이디헬스케어
11110,종로구,2025,피머짐
11140,중구,1989,매일온천
11140,중구,1989,삼일
11140,중구,1989,왕성체육관
11140,중구,1989,제일헬스
11140,중구,1990,(주)타워호텔
11140,중구,1991,경성헬스클럽
11140,중구,1992,신당헬스클럽
11140,중구,1994,88헬스클럽
11140,중구,1995,현대헬스
11140,중구,1996,골드짐
11140,중구,1996,코리아나
11140,중구,1997,프로헬스크럽
11140,중구,1998,2002헬스타운
11140,중구,1998,벗 명보헬스클럽
11140,중구,1998,새로나휘트니스
11140,중구,1998,위더스헬스클럽
11140,중구,1998,피트니스온 서울시청점
11140,중구,1998,한신헬스클럽
11140,중구,1999,국제프레야스포츠
11140,중구,1999,뉴)월드스포랜드
11140,중구,1999,라이온스헬스클럽
11140,중구,1999,엠.티.엠 휘트니스클럽
11140,중구,2000,라이프 헬스 클럽
11140,중구,2000,장교 휘트니스 센터
11140,중구,2000,중앙신협휘트니스클럽
11140,중구,2000,타라휘트니스클럽
11140,중구,2001,골드스포츠
11140,중구,2001,남문헬스클럽
11140,중구,2001,동남헬스클럽
11140,중구,2003,Aja sporex
11140,중구,2003,디자인휘트니스
11140,중구,2003,명동사우나헬스
11140,중구,2004,맨하탄휘트니스
11140,중구,2004,우리헬스
11140,중구,2004,헬스GXPT스피닝
11140,중구,2004,휴레스트웰빙클럽
11140,중구,2005,바비엥 휘트니스클럽
