district_code,district,public_type,public_name
11110,종로구,배드민턴장,무악배드민턴장
11110,종로구,테니스장,삼청테니스장
11110,종로구,배드민턴장,숭인근린공원
11110,종로구,생활체육관,올림픽기념국민생활관
11110,종로구,수영장,올림픽기념국민생활관 수영장
11110,종로구,배드민턴장,와룡근린공원 배드민턴장
11110,종로구,생활체육관,와룡스포츠센터
11110,종로구,배드민턴장,인왕배드민턴장
11110,종로구,기타,종로구립탁구장
11110,종로구,생활체육관,종로구민회관
11110,종로구,수영장,종로구민회관 수영장
11110,종로구,생활체육관,종로문화체육센터
11110,종로구,수영장,종로문화체육센터 수영장
11110,종로구,족구장,한강다목적운동장 족구장
11110,종로구,축구장,한강다목적운동장 축구장
11140,중구,생활체육관,남산타운문화체육센터
11140,중구,생활체육관,무학봉체육관
11140,중구,수영장,봉래체육문화센터
11140,중구,초등학교,봉래초등학교
11140,중구,기타,석호정 국궁장
11140,중구,수영장,성동교육문화관 수영장
11140,중구,생활체육관,손기정문화체육센터
11140,중구,축구장,손기정문화체육센터 축구장
11140,중구,테니스장,손기정문화체육센터 테니스장
11140,중구,배드민턴장,응봉근린공원 배드민턴장
11140,중구,고등학교,장충고등학교
11140,중구,야구장,장충리틀야구장
11140,중구,생활체육관,장충체육관
11140,중구,테니스장,장충테니스장
11140,중구,생활체육관,청구교육문화관
11140,중구,수영장,청구교육문화관 수영장
11140,중구,생활체육관,충무스포츠센터
11140,중구,생활체육관,회현체육센터
11140,중구,골프연습장,회현체육센터 골프연습장
11140,중구,수영장,회현체육센터 수영장
11140,중구,생활체육관,훈련원공원종합체육관
11170,용산구,기타,서빙고동 헬스장
11170,용산구,기타,용문동 헬스장
11170,용산구,기타,용산2가동 헬스장
11170,용산구,생활체육관,용산문화체육센터
11170,용산구,수영장,용산문화체육센터 수영장
11170,용산구,생활체육관,용산청소년센터
11170,용산구,수영장,용산청소년센터 수영장
11170,용산구,생활체육관,원효로다목적체육관
11170,용산구,초등학교,원효초등학교
11170,용산구,테니스장,응봉근린공원 한남테니스장
