"체육시설일련번호","자치구","시설명","시설유형","시설우편번호","시설주소","시설상세주소","시설규모","운영기관","연락처","운영시간_평일","운영시간_주말","운영시간_공휴일","시설대관여부","시설사용료","주차정보","홈페이지","시설종류","시설운영상태","시설편의시설","비고"
"828","구로","50플러스 수영장","공공체육시설","08350","서울특별시 구로구 오류로 36-25","남부캠퍼스 지하 2층","성인풀 5레인 / 면적 5,714.8m² ","구로구시설관리공단","02-2066-1515","06:00~21:30","토요일 10:00~18:30 / 일요일 및 공휴일 휴관","성수기(7~8월)에는 일요일 자유 수영 운영","불가능","운영 프로그램에 따라 이용 요금 상이 ","- 만차일 경우, 천왕역 환승센터 주차장 이용 - 가급적 대중교통 이용 ","https://www.gurosisul.or.kr/mod.asp?m=business&s=b07","수영장","운영","샤워실, 탈의실, 관람실, 개인사물함",""
"761","강서","가곡초등학교","학교체육시설","","서울특별시 강서구 공항대로36길 74","","체육장 6,946㎡","가곡초등학교","02-2661-5995","06:30~08:00, 17:00~보안관 근무 종료시까지","토요일 06:30~08:00, 14:00~일몰 시까지","일요일 및 공휴일 06:30~일몰 시까지","가능","체육관 : 15,000~60,000원 운동장 : 20,000~100,000원","주차 불가","http://gagok.sen.es.kr/index.do","초등학교","운영","샤워실, 탈의실, 창고",""
"762","강서","가양레포츠센터","공공체육시설","07531","서울특별시 강서구 양천로61길 101","","지하 1층, 지상 2층 (면적 4,627.8㎡)","강서구시설관리공단","02-6229-6680","09:00~20:00","주말 및 신정, 설, 추석 연휴 및 공휴일 휴관 ","시설 별 운영시간 상이","가능","(이용 시간 120분 기준) 인조잔디축구장 : 평일 60,500원 / 주말 78,650원 어린이야구연습장 : 평일 22,000원 / 주말 28,600원 족구장 : 무료 대관","주차 가능 (45면)","https://sport.gssi.or.kr/page/sisul/02/","생활체육관","운영","샤워실, 탈의실, 매점, 관람석 (417석)",""
"1372","강서","가양레포츠센터 어린이야구장","공공체육시설","07531","서울특별시 강서구 양천로61길 101","","외야거리 : 62m × 65m","강서구시설관리공단","02-3662-9081","동절기 09:00~17:00, 춘추기 09:00~18:00, 하절기 09:00~19:00","동절기 08:00~17:00, 춘추기 08:00~18:00, 하절기 08:00~19:00",".신정, 설, 추석 연휴 및 공휴일 휴관","가능","운영 프로그램에 따라 이용 요금 상이","주차 가능 (45대)","https://sport.gssi.or.kr/page/sisul/02/","야구장","운영","샤워실, 탈의실, 관람석",""
"764","강서","가양레포츠센터 축구장","공공체육시설","07531","서울특별시 강서구 양천로61길 101","","65m x 97m (인조잔디)","강서구시설관리공단","02-3662-9081","09:00~22:00","주말 06:00~22:00 / 공휴일 휴관","평일 기준 동절기, 춘추기, 하절기 별 운영시간 상이","가능","(이용 시간 120분 기준) 평일 60,500원 / 주말 78,650원","주차 가능 (45면)","https://sport.gssi.or.kr/page/sisul/02/","축구장","운영","샤워실, 탈의실, 매점, 관람석 (417석)",""
"763","강서","가양초등학교","학교체육시설","07533","서울특별시 강서구 허준로 186","가양초등학교","체육장 5,500㎡","가양초등학교","02-2668-2101","06:30~07:30, 16:00~19:00","토요일 06:30~07:30, 14:00~19:00","일요일 및 공휴일 07:00~19:00","가능","운동장 15,000~100,000원","학교 시설 사용 시, 주차 가능 (유료)","http://kayang.sen.es.kr/index.do","초등학교","운영","",""
"1630","서대문","가좌다목적구장","공공체육시설","03657","서울특별시 서대문구 백련사길 55","홍은2동 산26-170(도로명주소 미부여)","테니스장 1면,족구장 1면 (1,225㎡)","서대문구도시관리공단(서대문테니스협회)","02-360-8685","전화문의","전화문의","-","가능","전화문의","전화문의","https://www.sdm.go.kr/culture/culture/sub4030.do","생활체육관","운영","",""
"926","서대문","가좌테니스장","공공체육시설","","서울특별시 서대문구 홍은2동 산26-170","","테니스코트 2면 (1,465㎡)","서대문구청","010-7149-2100","00:00~24:00","00:00~24:00","","가능","회비 : 40,000  / 가입비 : 100,000원","주차 불가","https://www.sdm.go.kr/culture/culture/sub4030.do","테니스장","운영","매점",""
"1091","동대문","간데메공원 농구장","공공체육시설","","서울특별시 동대문구 서울시립대로2길 59","","15,179.7㎡","","02-2249-2770","00:00~24:00","00:00~24:00","","불가능","무료","2021년 12월 지하주차장 건설 예정","https://parks.seoul.go.kr/parks/detailView.do?pIdx=22","농구장","운영","놀이터, 잔디광장, 분수",""
"1543","양천","갈산근린공원 농구장","공공체육시설","08103","서울특별시 양천구 안양천로539길 46","","농구장 1면","양천구청 공원녹지과","02-2620-3574","00:00~24:00","00:00~24:00","","불가능","","주차 공간이 협소하므로 대중교통 이용","https://parks.seoul.go.kr/parks/detailView.do?pIdx=61","농구장","운영","화장실, 전망대 ",""
"1112","용산","갈월종합사회복지관 수영장","공공체육시설","","서울특별시 용산구 두텁바위로 25","","성인풀(25m) 5레인","용산구청","02-752-7887","09:00~22:00","토요일 10:00~18:00 / 일요일 및 공휴일 휴관","","불가능","운영 프로그램에 따라 이용 요금 상이","주차 가능","http://www.galwol.or.kr/","수영장","휴관","탈의실, 샤워실","복지관 환경개선공사로 인해  체육 프로그램은 2022년 상반기부터 운영 예정"
"1113","용산","갈월종합사회복지관 체육관","공공체육시설","","서울특별시 용산구 두텁바위로 25","","지하 2층, 지상 6층","용산구청","02-752-7887","06:00~22:00","토요일 10:00~18:00 / 일요일 및 공휴일 휴관","토요일 : 10:00-18:00","불가능","운영 프로그램에 따라 이용 요금 상이","주차 가능","http://www.galwol.or.kr/","생활체육관","휴관","휴게실, 빨래방","복지관 환경개선공사로 인해  체육 프로그램은 2022년 상반기부터 운영 예정"
"767","강남","강남구민체육관","공공체육시설","","서울특별시 강남구 개포로28길 47","","지하 1층, 지상 3층","강남구도시관리공단","02-2176-0871","06:00~22:00","토요일 06:00~18:00 / 일요일, 근로자의 날, 법정공휴일 휴관 ","","불가능","운영 프로그램에 따라 이용 요금 상이","주차 가능 (63면)","http://life.gangnam.go.kr/fmcs/105","생활체육관","운영","탈의실, 휴게실, 조깅트랙","10/13(수) 기준 - 운영시간 단축 : 06:00~21:00 - 코로나19 백신 접종자만 이용 가능 - 주차장 및 샤워실 이용 불가"
"768","강남","강남구민회관 체육교실","공공체육시설","","서울특별시 강남구 삼성로 154 ","지하 1층","지하 1층, 지상 2층","강남구도시관리공단","02-2176-0892","08:00~21:30","토요일 09:00~19:30 / 일요일 및 법정공휴일 휴관 ","","불가능","운영 프로그램에 따라 이용 요금 상이","주차 가능","http://life.gangnam.go.kr/fmcs/103","생활체육관","운영","탈의실, 전시실, 공연장","10/13(수) 기준 - 운영시간 단축 : 06:00~21:00 - 코로나19 백신 접종자만 이용 가능 - 주차장 및 샤워실 이용 불가"
"1660","강남","강남세곡체육공원체육시설","공공체육시설","06378","서울특별시 강남구 헌릉로 679","서울특별시 강남구 세곡동 산 1-7, 강남세곡체육공원","지상1층 축구장 1면, 테니스 코트 4면, 사무실, 샤워실(탈의실)","강남구도시관리공단","02-2176-0870","화~금(06:00~22:00)","토,일(06:00~22:00)","-","가능","","전화문의","https://life.gangnam.go.kr/fmcs/281","기타","운영","",""
"831","구로","계남근린공원 축구장","공공체육시설","","서울특별시 구로구 고척동 산6-1","","인조잔디 축구장 85m×52m","구로구청체육진흥과","02-860-3364","하절기 08:00~18:00, 동절기 09:00~17:00","하절기 08:00~18:00, 동절기 09:00~17:00","","가능","무료","주차 불가 대중교통 이용 도로 무단 주차시 견인 및 벌금 조치","http://www.guro.go.kr/culture/sports/facilities.jsp","축구장","운영","편의시설 없음",""
"770","강남","강남스포츠문화센터","공공체육시설","","서울특별시 강남구 밤고개로1길 52","","지하 2층, 지상 4층","강남구도시관리공단","02-2176-0801 ~ 3","06:00~21:50","토요일 06:00~17:50, 일요일 (09:30~16:00, 2/4주)","근로자의 날, 법정공휴일 휴관, 일요일 일부 정상운영 : 독서실(07:00~17:50)","가능","운영 프로그램에 따라 이용 요금 상이","주차 가능","https://life.gangnam.go.kr/fmcs/104","생활체육관","운영","샤워실, 탈의실, 식당, 사랑방, 독서실, 수영장 전망대","10/13(수) 기준 - 운영시간 단축 : 06:00~21:00 - 코로나19 백신 접종자만 이용 가능 - 주차장 및 샤워실 이용 불가"
