"동별","연령별","항목","단위","2024. 4/4","2025. 1/4","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"합계","합계","계","","9597372","9602826","10369593","10297138","10204057","10124579","10049607","10010983","9911088","9736027","9667669","9638799","9597372",
"합계","합계","한국인","","9331828","9335734","10103233","10022181","9930616","9857426","9765623","9729107","9668465","9509458","9428372","9386034","9331828",
"합계","합계","등록외국인","","265544","267092","266360","274957","273441","267153","283984","281876","242623","226569","239297","252765","265544",
"합계","0~4세","계","","207542","205595","411132","401736","385158","358848","333043","308979","277293","250044","232724","218060","207542",
"합계","0~4세","한국인","","202897","201873","404369","393903","376575","350277","324470","300799","270481","244538","227619","213014","202897",
"합계","0~4세","등록외국인","","4645","3722","6763","7833","8583","8571","8573","8180","6812","5506","5105","5046","4645",
"합계","5~9세","계","","286741","280911","393451","393870","389807","383928","372029","368373","359387","345196","323365","306295","286741",
"합계","5~9세","한국인","","280883","275078","389623","389396","384739","378185","365898","361894","353264","339145","317698","300548","280883",
"합계","5~9세","등록외국인","","5858","5833","3828","4474","5068","5743","6131","6479","6123","6051","5667","5747","5858",
"합계","10~14세","계","","356567","356556","459224","420313","398660","394060","384062","374510","375617","372040","366579","359209","356567",
"합계","10~14세","한국인","","352036","351729","456867","417806","395786","390804","380366","370557","371652","367879","362502","355014","352036",
"합계","10~14세","등록외국인","","4531","4827","2357","2507","2874","3256","3696","3953","3965","4161","4077","4195","4531",
"합계","15~19세","계","","381258","379742","594242","575896","548556","513886","484736","459621","416854","394566","394995","388426","381258",
"합계","15~19세","한국인","","368731","371868","587646","567984","538419","503852","474755","449014","410214","388257","386616","378197","368731",
"합계","15~19세","등록외국인","","12527","7874","6596","7912","10137","10034","9981","10607","6640","6309","8379","10229","12527",
"합계","20~24세","계","","581606","570525","727181","731898","723557","710866","701582","687693","666221","638174","621697","601307","581606",
"합계","20~24세","한국인","","530569","523527","701179","703783","690728","674674","658915","641964","630115","603077","578374","555058","530569",
"합계","20~24세","등록외국인","","51037","46998","26002","28115","32829","36192","42667","45729","36106","35097","43323","46249","51037",
"합계","25~29세","계","","818212","819346","793943","780413","786192","804676","822598","846081","858648","847622","844569","838877","818212",
